Item Name,Part No,CPU Socket,Chipset,Manufacturer URL
ASUS ROG STRIX B560-A GAMING WIFI,90MB16V0-M0AAY0,LGA 1200,B560,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b560-a-gaming-wifi-model/
ASUS ROG STRIX Z590-I GAMING WIFI,90MB1680-M0AAY0,LGA 1200,Z590,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-z590-i-gaming-wifi-model/
ASUS ROG STRIX Z590-A GAMING WIFI,90MB1660-M0AAY0,LGA 1200,Z590,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-z590-a-gaming-wifi-model/
ASUS Pro WS WRX80E-SAGE SE WIFI,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/Workstation/Pro-WS-WRX80E-SAGE-SE-WIFI/
ASUS ROG Maximus XIII Extreme,,,,https://rog.asus.com/my/motherboards/rog-maximus/rog-maximus-xiii-extreme-model/
ASUS PRIME Z590-A,,LGA 1200,Z590,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-Z590-A/
ASUS TUF GAMING Z590-PLUS WIFI,,LGA 1200,Z590,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-Gaming-Z590-PLUS-WIFI/
ASUS ROG Maximus XIII Extreme Glacial,,,,https://rog.asus.com/my/motherboards/rog-maximus/rog-maximus-xiii-extreme-glacial-model/
ASUS ROG STRIX Z590-F GAMING WIFI,90MB1630-M0AAY0,LGA 1200,Z590,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-z590-f-gaming-wifi-model/
ASUS ROG STRIX Z590-E GAMING WIFI,90MB1640-M0AAY0,LGA 1200,Z590,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-z590-e-gaming-wifi-model/
ASUS ROG MAXIMUS XIII HERO,,,,https://rog.asus.com/my/motherboards/rog-maximus/rog-maximus-xiii-hero-model/
ASUS Prime X299 Edition 30,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/Prime-X299-Edition-30/
ASUS TUF GAMING X570-PLUS (WI-FI),,AM4,X570,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-X570-PLUS-WI-FI/
ASUS ROG STRIX B550-XE GAMING WIFI,,,,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b550-xe-gaming-wifi-model/
ASUS ROG Crosshair VIII Dark Hero,,,,https://rog.asus.com/my/motherboards/rog-crosshair/rog-crosshair-viii-dark-hero-model/
ASUS PRIME B450M-K II,,AM4,B450,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-B450M-K-II/
ASUS TUF GAMING B450M-PRO II,,AM4,B450,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-B450M-PRO-II/
ASUS TUF-GAMING-550B,,,,https://www.asus.com/my/Motherboards-Components/Power-Supply-Units/TUF-Gaming/TUF-GAMING-550B/
ASUS TUF-GAMING-650B,,,,https://www.asus.com/my/Motherboards-Components/Power-Supply-Units/TUF-Gaming/TUF-GAMING-650B/
ASUS TUF GAMING B550M (WI-FI) ZAKU II EDITION,,,,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-B550M-WI-FI-ZAKU-II-EDITION/
ASUS TUF GAMING B550M-PLUS (WI-FI),,,,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-B550M-PLUS-WI-FI/
ASUS ROG STRIX B450-F GAMING II,90MB15V0-M0AAY0,AM4,B450,https://rog.asus.com/my/motherboards/rog-strix/rog-strix-b450-f-gaming-ii-model/
ASUS PRIME H410M-E,,LGA 1200,H410,https://www.asus.com/my/Motherboards-Components/Motherboards/PRIME/PRIME-H410M-E/
ASUS EX-B460M-V5,,LGA 1200,B460,https://www.asus.com/my/Motherboards-Components/Motherboards/CSM/EX-B460M-V5/
ASUS TUF GAMING B460M-PLUS,,LGA 1200,B460,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-B460M-PLUS/
ASUS TUF GAMING B460-PRO (WI-FI),,LGA 1200,B460,https://www.asus.com/my/Motherboards-Components/Motherboards/TUF-Gaming/TUF-GAMING-B460-PRO-WI-FI/
